condition,answer
Найдите площадь поверхности цилиндра с радиусом основания 3 см и высотой 7 см.,0.01884
Какое количество теплоты необходимо для плавления 1 кг льда (удельная теплота плавления льда 330 кДж/кг)?,330000.0
Найдите длину дуги окружности с радиусом 10 см и центральным углом 90°. π = 3.14,0.157
"Чему равна сила тяжести, действующая на тело массой 15 кг (g = 10 м/с²)?",150.0
Найдите объем призмы с площадью основания 12 см² и высотой 5 см.,6e-05
Какое количество теплоты выделится при конденсации 0.5 кг пара (удельная теплота парообразования 2.3 МДж/кг)?,1150000.0
Найдите площадь поверхности конуса с радиусом основания 4 см и образующей 5 см.,0.011304
"Чему равна мощность, если сила тока 3 А, а напряжение 12 В?",36.0
Найдите объем шара с диаметром 10 см. π = 3.14,0.00052333
Какое количество теплоты необходимо для нагревания 3 кг воды от 20°C до 50°C (удельная теплоемкость воды 4200 Дж/(кг·°C))?,378000.0
Найдите площадь поверхности пирамиды с площадью основания 20 см² и апофемой 6 см.,0.006
"Чему равна сила упругости, если жесткость пружины 100 Н/м, а удлинение 0.05 м?",5.0
Тело движется равноускоренно с начальной скоростью 5 м/с и ускорением 1 м/с². Найдите скорость тела через 3 секунд.,8.0
"Площадь прямоугольника равна 6 м², а одна из его сторон равна 2 м. Найдите длину второй стороны.",3.0
"Какое расстояние пройдёт автомобиль за 1.5 часа(ов), двигаясь со скоростью 40 км/ч?",60.0
"Найдите силу, действующую на тело массой 8 кг, если ускорение тела равно 5 м/с².",40.0
"Чему равна кинетическая энергия тела массой 4 кг, движущегося со скоростью 5 м/с?",50.0
Найдите объём куба с длиной ребра 4 м.,64.0
Тело брошено вертикально вверх с начальной скоростью 15 м/с. Найдите время подъёма до максимальной высоты (g = 10 м/с²).,1.5
Найдите площадь круга с радиусом 3 см. π = 3.14,0.002826
Какое давление оказывает сила 30 Н на площадь 1 м²?,30.0
Найдите длину окружности с радиусом 5 см. π = 3.14,0.314
Тело движется со скоростью 12 м/с. Какое расстояние оно пройдет за 2 секунды?,24.0
"Найдите массу тела, если его вес равен 50 Н (g = 10 м/с²).",5.0
"Чему равна потенциальная энергия тела массой 3 кг, поднятого на высоту 5 м (g = 10 м/с²)?",150.0
"Найдите ускорение тела, если за 4 секунд его скорость увеличилась с 0 м/с до 12 м/с.",3.0
Найдите площадь треугольника с основанием 12 см и высотой 4 см.,0.0024
Какое количество теплоты выделится при охлаждении воды массой 1 кг от 50°C до 40°C (удельная теплоемкость воды 4200 Дж/(кг·°C))?,42000.0
Найдите объем цилиндра с радиусом основания 4 см и высотой 8 см.,0.00040192
"Чему равна сила трения, если коэффициент трения равен 0.15, а сила нормального давления 30 Н?",4.5
Найдите длину гипотенузы прямоугольного треугольника с катетами 5 см и 12 см.,0.13
Какое количество теплоты необходимо для нагревания 2 кг вещества (удельная теплоемкость 460 Дж/(кг·°C)) на 10°C?,9200.0
Найдите площадь поверхности куба с длиной ребра 3 м.,54.0
"Чему равна работа силы 25 Н, если тело переместилось на 4 м в направлении действия силы?",100.0
Найдите объем шара с радиусом 5 см. π = 3.14,0.00052333
"Какое расстояние пройдет звук за 2 секунды, если его скорость равна 340 м/с?",680.0
Найдите площадь параллелограмма с основанием 10 см и высотой 3 см.,0.003
"Чему равна мощность, если работа 300 Дж совершена за 5 секунд?",60.0
Найдите объем конуса с радиусом основания 2 см и высотой 9 см.,0.00037699
"Какое давление оказывает столб воды высотой 3 м (плотность воды 1000 кг/м³, g = 10 м/с²)?",30000.0
Найдите площадь трапеции с основаниями 8 см и 6 см и высотой 4 см.,0.0028
"Чему равна сила Архимеда, действующая на тело объемом 0.05 м³, погруженное в воду (плотность воды 1000 кг/м³, g = 10 м/с²)?",500.0
Найдите площадь поверхности сферы с радиусом 4 см.,0.02010624
Какое количество теплоты выделится при сгорании 1.5 кг угля (удельная теплота сгорания угля 30 МДж/кг)?,45000000.0
Найдите объем пирамиды с площадью основания 10 см² и высотой 6 см.,2e-05
"Чему равна сила тока, если за 4 секунды через проводник прошел заряд 20 Кл?",5.0
Найдите площадь ромба с диагоналями 10 см и 6 см.,0.003
"Какое напряжение на участке цепи, если сила тока 3 А, а сопротивление 4 Ом?",12.0
"Найдите объем прямоугольного параллелепипеда с длиной 5 см, шириной 4 см и высотой 6 см.",0.0012
"Чему равна работа электрического тока, если напряжение 9 В, а заряд 3 Кл?",27.0
Найдите площадь поверхности цилиндра с радиусом основания 3 см и высотой 10 см.,0.02199114857512855
Какое количество теплоты необходимо для плавления 0.5 кг льда (удельная теплота плавления льда 330 кДж/кг)?,165000.0
Найдите длину дуги окружности с радиусом 8 см и центральным углом 60°. π = 3.14,0.083776
"Чему равна сила тяжести, действующая на тело массой 20 кг (g = 10 м/с²)?",200.0
Найдите объем призмы с площадью основания 8 см² и высотой 12 см.,0.00096
Какое количество теплоты выделится при конденсации 1 кг пара (удельная теплота парообразования 2.3 МДж/кг)?,2300000.0
Найдите площадь поверхности конуса с радиусом основания 3 см и образующей 4 см.,0.007539822368615503
"Чему равна мощность, если сила тока 4 А, а напряжение 12 В?",48.0
Найдите объем шара с диаметром 8 см. π = 3.14,0.00214466
Какое количество теплоты необходимо для нагревания 2 кг воды от 10°C до 30°C (удельная теплоемкость воды 4200 Дж/(кг·°C))?,168000.0
Найдите площадь поверхности пирамиды с площадью основания 15 см² и апофемой 5 см.,0.00375
"Чему равна сила упругости, если жесткость пружины 150 Н/м, а удлинение 0.02 м?",3.0
Тело движется равноускоренно с начальной скоростью 2 м/с и ускорением 3 м/с². Найдите скорость тела через 4 секунд.,14.0
"Площадь прямоугольника равна 20 м², а одна из его сторон равна 5 м. Найдите длину второй стороны.",4.0
"Какое расстояние пройдёт автомобиль за 2.5 часа(ов), двигаясь со скоростью 80 км/ч?",200.0
"Найдите силу, действующую на тело массой 12 кг, если ускорение тела равно 2 м/с².",24.0
"Чему равна кинетическая энергия тела массой 6 кг, движущегося со скоростью 3 м/с?",27.0
Найдите объём куба с длиной ребра 1 м.,1.0
Тело брошено вертикально вверх с начальной скоростью 10 м/с. Найдите время подъёма до максимальной высоты (g = 10 м/с²).,1.0
Найдите площадь круга с радиусом 4 см. π = 3.14,0.005024
Какое давление оказывает сила 45 Н на площадь 3 м²?,15.0
Найдите длину окружности с радиусом 7 см. π = 3.14,0.4396
Тело движется со скоростью 20 м/с. Какое расстояние оно пройдет за 3 секунды?,60.0
"Найдите массу тела, если его вес равен 250 Н (g = 10 м/с²).",25.0
"Чему равна потенциальная энергия тела массой 4 кг, поднятого на высоту 2.5 м (g = 10 м/с²)?",100.0
"Найдите ускорение тела, если за 5 секунд его скорость увеличилась с 5 м/с до 25 м/с.",4.0
Найдите площадь треугольника с основанием 10 см и высотой 6 см.,0.003
Какое количество теплоты выделится при охлаждении воды массой 0.5 кг от 60°C до 30°C (удельная теплоемкость воды 4200 Дж/(кг·°C))?,63000.0
Найдите объем цилиндра с радиусом основания 3 см и высотой 6 см.,0.00016964600329384883
"Чему равна сила трения, если коэффициент трения равен 0.2, а сила нормального давления 80 Н?",16.0
Найдите длину гипотенузы прямоугольного треугольника с катетами 8 см и 6 см.,0.1
Какое количество теплоты необходимо для нагревания 0.5 кг железа на 20°C (удельная теплоемкость железа 460 Дж/(кг·°C))?,4600.0
Найдите площадь поверхности куба с длиной ребра 1.5 м.,13.5
"Чему равна работа силы 10 Н, если тело переместилось на 12 м в направлении действия силы?",120.0
Найдите объем шара с радиусом 3 см. π = 3.14,0.0001131
"Какое расстояние пройдет звук за 5 секунд, если его скорость равна 340 м/с?",1700.0
Найдите площадь параллелограмма с основанием 12 см и высотой 6 см.,0.0072
"Чему равна мощность, если работа 120 Дж совершена за 4 секунд?",30.0
Найдите объем конуса с радиусом основания 3 см и высотой 6 см.,0.00016964600329384883
"Какое давление оказывает столб воды высотой 4 м (плотность воды 1000 кг/м³, g = 10 м/с²)?",40000.0
Найдите площадь трапеции с основаниями 10 см и 4 см и высотой 5 см.,0.0035
"Чему равна сила Архимеда, действующая на тело объемом 0.2 м³, погруженное в воду (плотность воды 1000 кг/м³, g = 10 м/с²)?",2000.0
Найдите площадь поверхности сферы с радиусом 6 см.,0.04523893421128679
Какое количество теплоты выделится при сгорании 0.8 кг угля (удельная теплота сгорания угля 30 МДж/кг)?,24000000.0
Найдите объем пирамиды с площадью основания 20 см² и высотой 10 см.,6.666666666666667e-05
"Чему равна сила тока, если за 10 секунд через проводник прошел заряд 50 Кл?",5.0
Найдите площадь ромба с диагоналями 12 см и 8 см.,0.0048
"Какое напряжение на участке цепи, если сила тока 5 А, а сопротивление 2 Ом?",10.0
"Найдите объем прямоугольного параллелепипеда с длиной 6 см, шириной 5 см и высотой 4 см.",0.0012
"Чему равна работа электрического тока, если напряжение 5 В, а заряд 10 Кл?",50.0
Найдите площадь поверхности цилиндра с радиусом основания 4 см и высотой 6 см.,0.01696460032938488
Какое количество теплоты необходимо для плавления 2 кг льда (удельная теплота плавления льда 330 кДж/кг)?,660000.0
Найдите длину дуги окружности с радиусом 6 см и центральным углом 45°. π = 3.14,0.04712
"Чему равна сила тяжести, действующая на тело массой 7 кг (g = 10 м/с²)?",70.0
Найдите объем призмы с площадью основания 20 см² и высотой 3 см.,0.0006
Какое количество теплоты выделится при конденсации 0.2 кг пара (удельная теплота парообразования 2.3 МДж/кг)?,460000.0
Найдите площадь поверхности конуса с радиусом основания 2 см и образующей 3 см.,0.003141592653589793
"Чему равна мощность, если сила тока 2 А, а напряжение 24 В?",48.0
Найдите объем шара с диаметром 6 см. π = 3.14,0.0009043199999999999
Какое количество теплоты необходимо для нагревания 4 кг воды от 15°C до 25°C (удельная теплоемкость воды 4200 Дж/(кг·°C))?,168000.0
Найдите площадь поверхности пирамиды с площадью основания 10 см² и апофемой 4 см.,0.002
"Чему равна сила упругости, если жесткость пружины 80 Н/м, а удлинение 0.1 м?",8.0
Тело движется равноускоренно с начальной скоростью 3 м/с и ускорением 4 м/с². Найдите скорость тела через 2 секунд.,11.0
"Площадь прямоугольника равна 30 м², а одна из его сторон равна 6 м. Найдите длину второй стороны.",5.0
"Какое расстояние пройдёт автомобиль за 3 часа(ов), двигаясь со скоростью 55 км/ч?",165.0
"Найдите силу, действующую на тело массой 3 кг, если ускорение тела равно 6 м/с².",18.0
"Чему равна кинетическая энергия тела массой 2 кг, движущегося со скоростью 8 м/с?",64.0
